[20:58:21] [LOGGING]	 STARTING LOGGING
[20:58:26] [INIT]	 ==========================================
[20:58:26] [INIT]	 S.A.R.A.H. => KINECT
[20:58:26] [INIT]	 ==========================================
[20:58:26] [INIT]	 Server: http://127.0.0.1:8080
[20:58:26] [INIT]	 Confidence: 0,4
[20:58:26] [INIT]	 ==========================================
[20:58:29] [KINECT]	 No Kinect Sensor
[20:58:29] [KINECT]	 No Kinect Sensor
[20:58:32] [INIT]	 Starting Server: http://169.254.80.80:8888/
[20:58:32] [INIT]	 Starting Server: http://127.0.0.1:8888/
[20:58:34] [WATCHER]	 Stop watching
[20:58:34] [GRAMMAR]	 Load file: time.xml : C:\Users\Tasa_PC\Documents\Projet\macros\time.xml
[20:58:35] [GRAMMAR]	 Add to context list: time.xml
[20:58:36] [WATCHER]	 Watching directory: macros
[20:58:36] [GRAMMAR]	 Load file: dictionary.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dictionary\dictionary.xml
[20:58:36] [GRAMMAR]	 Add to context list: dictionary.xml
[20:58:36] [GRAMMAR]	 Load file: dot_histoire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_histoire\dot_histoire.xml
[20:58:36] [GRAMMAR]	 Add to context list: dot_histoire.xml
[20:58:37] [GRAMMAR]	 Load file: dot_itineraire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_itineraire\dot_itineraire.xml
[20:58:37] [GRAMMAR]	 Add to context list: dot_itineraire.xml
[20:58:38] [GRAMMAR]	 Load file: dot_meteo.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_meteo\dot_meteo.xml
[20:58:38] [GRAMMAR]	 Add to context list: dot_meteo.xml
[20:58:38] [GRAMMAR]	 Load file: dot_text_to_speech.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_text_to_speech\dot_text_to_speech.xml
[20:58:38] [GRAMMAR]	 Add to context list: dot_text_to_speech.xml
[20:58:38] [GRAMMAR]	 Load file: dot_veille.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_veille\dot_veille.xml
[20:58:39] [GRAMMAR]	 Add to context list: dot_veille.xml
[20:58:39] [GRAMMAR]	 Load file: meteo2.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\meteo2\meteo2.xml
[20:58:39] [GRAMMAR]	 Add to context list: meteo2.xml
[20:58:39] [WATCHER]	 Watching directory: plugins
[20:58:40] [WATCHER]	 Start watching
[20:58:41] [GRAMMAR]	 Context: default
[20:58:41] [GRAMMAR]	 Context: time.xml, dictionary.xml, dot_histoire.xml, dot_itineraire.xml, dot_meteo.xml, dot_text_to_speech.xml, dot_veille.xml, meteo2.xml
[20:58:41] [CONTEXT]	 time.xml = True
[20:58:41] [CONTEXT]	 dictionary.xml = True
[20:58:41] [CONTEXT]	 dot_histoire.xml = True
[20:58:41] [CONTEXT]	 dot_itineraire.xml = True
[20:58:41] [CONTEXT]	 dot_meteo.xml = True
[20:58:41] [CONTEXT]	 dot_text_to_speech.xml = True
[20:58:41] [CONTEXT]	 dot_veille.xml = True
[20:58:41] [CONTEXT]	 meteo2.xml = True
[20:58:44] [GRAMMAR]	 File: Load Grammar to Engine
[20:58:46] [GRAMMAR]	 File: Load: time.xml Enabled: True
[20:58:49] [GRAMMAR]	 File: Load Grammar to Engine
[20:58:49] [GRAMMAR]	 File: Load: dictionary.xml Enabled: True
[20:58:49] [GRAMMAR]	 File: Load Grammar to Engine
[20:58:49] [GRAMMAR]	 File: Load: dot_histoire.xml Enabled: True
[20:58:49] [GRAMMAR]	 File: Load Grammar to Engine
[20:58:49] [GRAMMAR]	 File: Load: dot_itineraire.xml Enabled: True
[20:58:49] [GRAMMAR]	 File: Load Grammar to Engine
[20:58:49] [GRAMMAR]	 File: Load: dot_meteo.xml Enabled: True
[20:58:49] [GRAMMAR]	 File: Load Grammar to Engine
[20:58:50] [GRAMMAR]	 File: Error file: dot_text_to_speech.xml: Règle racine 'ruleDot_veille' non définie. [Ligne=8, Position=11]
[20:58:50] [GRAMMAR]	 File: Error file: dot_text_to_speech.xml: Règle racine 'ruleDot_veille' non définie. [Ligne=8, Position=11]
[20:58:50] [GRAMMAR]	 File: Load Grammar to Engine
[20:58:50] [GRAMMAR]	 File: Load: dot_veille.xml Enabled: True
[20:58:50] [GRAMMAR]	 File: Load Grammar to Engine
[20:58:50] [GRAMMAR]	 File: Load: meteo2.xml Enabled: True
[20:58:50] [ENGINE - File]	 Init recognizer
[20:58:50] [ENGINE - File]	 AudioLevel: 0
[20:58:51] [ENGINE - File]	 MaxAlternates: 1
[20:58:51] [ENGINE - File]	 BabbleTimeout: 00:00:05
[20:58:51] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[20:58:51] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[20:58:51] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[20:58:51] [TTS]	 Add Speaker Device: 0 Product: Casque (Cirrus Logic CS4206B (A Channels: 2 Playback: True
[20:58:51] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[20:58:51] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[20:58:51] [ENGINE]	 Restart timeout: 3600000
[21:14:55] [LOGGING]	 STARTING LOGGING
[21:15:00] [INIT]	 ==========================================
[21:15:01] [INIT]	 S.A.R.A.H. => KINECT
[21:15:01] [INIT]	 ==========================================
[21:15:01] [INIT]	 Server: http://127.0.0.1:8080
[21:15:01] [INIT]	 Confidence: 0,4
[21:15:01] [INIT]	 ==========================================
[21:15:05] [KINECT]	 No Kinect Sensor
[21:15:05] [KINECT]	 No Kinect Sensor
[21:15:09] [INIT]	 Starting Server: http://169.254.80.80:8888/
[21:15:09] [INIT]	 Starting Server: http://127.0.0.1:8888/
[21:15:10] [WATCHER]	 Stop watching
[21:15:10] [GRAMMAR]	 Load file: time.xml : C:\Users\Tasa_PC\Documents\Projet\macros\time.xml
[21:15:10] [GRAMMAR]	 Add to context list: time.xml
[21:15:10] [WATCHER]	 Watching directory: macros
[21:15:11] [GRAMMAR]	 Load file: dictionary.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dictionary\dictionary.xml
[21:15:11] [GRAMMAR]	 Add to context list: dictionary.xml
[21:15:11] [GRAMMAR]	 Load file: dot_histoire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_histoire\dot_histoire.xml
[21:15:11] [GRAMMAR]	 Add to context list: dot_histoire.xml
[21:15:11] [GRAMMAR]	 Load file: dot_itineraire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_itineraire\dot_itineraire.xml
[21:15:11] [GRAMMAR]	 Add to context list: dot_itineraire.xml
[21:15:11] [GRAMMAR]	 Load file: dot_meteo.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_meteo\dot_meteo.xml
[21:15:11] [GRAMMAR]	 Add to context list: dot_meteo.xml
[21:15:11] [GRAMMAR]	 Load file: dot_text_to_speech.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_text_to_speech\dot_text_to_speech.xml
[21:15:11] [GRAMMAR]	 Add to context list: dot_text_to_speech.xml
[21:15:12] [GRAMMAR]	 Load file: dot_veille.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_veille\dot_veille.xml
[21:15:12] [GRAMMAR]	 Add to context list: dot_veille.xml
[21:15:12] [GRAMMAR]	 Load file: meteo2.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\meteo2\meteo2.xml
[21:15:13] [GRAMMAR]	 Add to context list: meteo2.xml
[21:15:13] [WATCHER]	 Watching directory: plugins
[21:15:13] [WATCHER]	 Start watching
[21:15:13] [GRAMMAR]	 Context: default
[21:15:13] [GRAMMAR]	 Context: time.xml, dictionary.xml, dot_histoire.xml, dot_itineraire.xml, dot_meteo.xml, dot_text_to_speech.xml, dot_veille.xml, meteo2.xml
[21:15:13] [CONTEXT]	 time.xml = True
[21:15:14] [CONTEXT]	 dictionary.xml = True
[21:15:14] [CONTEXT]	 dot_histoire.xml = True
[21:15:14] [CONTEXT]	 dot_itineraire.xml = True
[21:15:14] [CONTEXT]	 dot_meteo.xml = True
[21:15:14] [CONTEXT]	 dot_text_to_speech.xml = True
[21:15:14] [CONTEXT]	 dot_veille.xml = True
[21:15:14] [CONTEXT]	 meteo2.xml = True
[21:15:20] [GRAMMAR]	 File: Load Grammar to Engine
[21:15:21] [GRAMMAR]	 File: Load: time.xml Enabled: True
[21:15:26] [GRAMMAR]	 File: Load Grammar to Engine
[21:15:26] [GRAMMAR]	 File: Load: dictionary.xml Enabled: True
[21:15:26] [GRAMMAR]	 File: Load Grammar to Engine
[21:15:27] [GRAMMAR]	 File: Load: dot_histoire.xml Enabled: True
[21:15:28] [GRAMMAR]	 File: Load Grammar to Engine
[21:15:28] [GRAMMAR]	 File: Load: dot_itineraire.xml Enabled: True
[21:15:28] [GRAMMAR]	 File: Load Grammar to Engine
[21:15:29] [GRAMMAR]	 File: Load: dot_meteo.xml Enabled: True
[21:15:29] [GRAMMAR]	 File: Load Grammar to Engine
[21:15:29] [GRAMMAR]	 File: Error file: dot_text_to_speech.xml: Règle racine 'ruleDot_veille' non définie. [Ligne=8, Position=11]
[21:15:29] [GRAMMAR]	 File: Error file: dot_text_to_speech.xml: Règle racine 'ruleDot_veille' non définie. [Ligne=8, Position=11]
[21:15:29] [GRAMMAR]	 File: Load Grammar to Engine
[21:15:29] [GRAMMAR]	 File: Load: dot_veille.xml Enabled: True
[21:15:30] [GRAMMAR]	 File: Load Grammar to Engine
[21:15:30] [GRAMMAR]	 File: Load: meteo2.xml Enabled: True
[21:15:31] [ENGINE - File]	 Init recognizer
[21:15:31] [ENGINE - File]	 AudioLevel: 0
[21:15:31] [ENGINE - File]	 MaxAlternates: 1
[21:15:31] [ENGINE - File]	 BabbleTimeout: 00:00:05
[21:15:31] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[21:15:31] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[21:15:31] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[21:15:37] [TTS]	 Add Speaker Device: 0 Product: Casque (Cirrus Logic CS4206B (A Channels: 2 Playback: True
[21:15:38] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[21:15:38] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[21:15:38] [ENGINE]	 Restart timeout: 3600000
[21:18:35] [HTTP]	 Request received: http://127.0.0.1:8888/?tts=Bienvenue%20a%20ITNOVEM
[21:18:35] [TTS]	 Try speaking ... Bienvenue a ITNOVEM
[21:18:35] [TTS]	 [0] Say: Bienvenue a ITNOVEM
[21:18:35] [PLAYER]	 [0]Start Player
[21:18:38] [PLAYER]	 [0]End Player
[21:18:38] [PLAYER]	 [0]speaking false
[21:18:38] [TTS]	 End speaking
[21:18:44] [HTTP]	 Request received: http://127.0.0.1:8888/?tts=Bienvenue%20a%20ITNOVEM
[21:18:44] [TTS]	 Try speaking ... Bienvenue a ITNOVEM
[21:18:44] [TTS]	 [0] Say: Bienvenue a ITNOVEM
[21:18:44] [PLAYER]	 [0]Start Player
[21:18:46] [PLAYER]	 [0]End Player
[21:18:46] [PLAYER]	 [0]speaking false
