[10:00:22] [LOGGING]	 STARTING LOGGING
[10:00:23] [INIT]	 ==========================================
[10:00:23] [INIT]	 S.A.R.A.H. => KINECT
[10:00:23] [INIT]	 ==========================================
[10:00:23] [INIT]	 Server: http://127.0.0.1:8080
[10:00:23] [INIT]	 Confidence: 0,4
[10:00:23] [INIT]	 ==========================================
[10:00:24] [KINECT]	 Setup sensor stream
[10:00:24] [KINECT]	 Start sensor
[10:00:25] [INIT]	 Starting Server: http://169.254.80.80:8888/
[10:00:25] [INIT]	 Starting Server: http://127.0.0.1:8888/
[10:00:25] [WATCHER]	 Stop watching
[10:00:25] [GRAMMAR]	 Load file: time.xml : C:\Users\Tasa_PC\Documents\Projet\macros\time.xml
[10:00:25] [GRAMMAR]	 Add to context list: time.xml
[10:00:25] [WATCHER]	 Watching directory: macros
[10:00:25] [GRAMMAR]	 Load file: dictionary.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dictionary\dictionary.xml
[10:00:25] [GRAMMAR]	 Add to context list: dictionary.xml
[10:00:25] [GRAMMAR]	 Load file: dot_histoire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_histoire\dot_histoire.xml
[10:00:25] [GRAMMAR]	 Add to context list: dot_histoire.xml
[10:00:25] [GRAMMAR]	 Load file: dot_itineraire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_itineraire\dot_itineraire.xml
[10:00:25] [GRAMMAR]	 Add to context list: dot_itineraire.xml
[10:00:25] [GRAMMAR]	 Load file: dot_meteo.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_meteo\dot_meteo.xml
[10:00:25] [GRAMMAR]	 Add to context list: dot_meteo.xml
[10:00:25] [GRAMMAR]	 Load file: dot_veille.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_veille\dot_veille.xml
[10:00:25] [GRAMMAR]	 Add to context list: dot_veille.xml
[10:00:25] [GRAMMAR]	 Load file: meteo2.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\meteo2\meteo2.xml
[10:00:25] [GRAMMAR]	 Add to context list: meteo2.xml
[10:00:25] [WATCHER]	 Watching directory: plugins
[10:00:25] [WATCHER]	 Start watching
[10:00:25] [GRAMMAR]	 Context: default
[10:00:25] [GRAMMAR]	 Context: time.xml, dictionary.xml, dot_histoire.xml, dot_itineraire.xml, dot_meteo.xml, dot_veille.xml, meteo2.xml
[10:00:25] [CONTEXT]	 time.xml = True
[10:00:25] [CONTEXT]	 dictionary.xml = True
[10:00:25] [CONTEXT]	 dot_histoire.xml = True
[10:00:25] [CONTEXT]	 dot_itineraire.xml = True
[10:00:25] [CONTEXT]	 dot_meteo.xml = True
[10:00:25] [CONTEXT]	 dot_veille.xml = True
[10:00:25] [CONTEXT]	 meteo2.xml = True
[10:00:25] [GRAMMAR]	 File: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 File: Load: time.xml Enabled: True
[10:00:26] [GRAMMAR]	 File: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 File: Load: dictionary.xml Enabled: True
[10:00:26] [GRAMMAR]	 File: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 File: Load: dot_histoire.xml Enabled: True
[10:00:26] [GRAMMAR]	 File: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 File: Load: dot_itineraire.xml Enabled: True
[10:00:26] [GRAMMAR]	 File: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 File: Load: dot_meteo.xml Enabled: True
[10:00:26] [GRAMMAR]	 File: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 File: Load: dot_veille.xml Enabled: True
[10:00:26] [GRAMMAR]	 File: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 File: Load: meteo2.xml Enabled: True
[10:00:26] [ENGINE - File]	 Init recognizer
[10:00:26] [ENGINE - File]	 AudioLevel: 0
[10:00:26] [ENGINE - File]	 MaxAlternates: 1
[10:00:26] [ENGINE - File]	 BabbleTimeout: 00:00:05
[10:00:26] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[10:00:26] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[10:00:26] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[10:00:26] [KINECT_0]	 AutomaticGainControlEnabled : False
[10:00:26] [KINECT_0]	 BeamAngle : 0
[10:00:26] [KINECT_0]	 EchoCancellationMode : CancellationAndSuppression
[10:00:26] [KINECT_0]	 EchoCancellationSpeakerIndex : 1
[10:00:26] [KINECT_0]	 NoiseSuppression : True
[10:00:26] [KINECT_0]	 SoundSourceAngle : 0
[10:00:26] [KINECT_0]	 SoundSourceAngleConfidence : 0
[10:00:26] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 KINECT_0: Load: time.xml Enabled: True
[10:00:26] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 KINECT_0: Load: dictionary.xml Enabled: True
[10:00:26] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 KINECT_0: Load: dot_histoire.xml Enabled: True
[10:00:26] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 KINECT_0: Load: dot_itineraire.xml Enabled: True
[10:00:26] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 KINECT_0: Load: dot_meteo.xml Enabled: True
[10:00:26] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 KINECT_0: Load: dot_veille.xml Enabled: True
[10:00:26] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[10:00:26] [GRAMMAR]	 KINECT_0: Load: meteo2.xml Enabled: True
[10:00:26] [ENGINE - KINECT_0]	 Init recognizer
[10:00:26] [ENGINE - KINECT_0]	 AudioLevel: 0
[10:00:26] [ENGINE - KINECT_0]	 MaxAlternates: 1
[10:00:26] [ENGINE - KINECT_0]	 BabbleTimeout: 00:00:05
[10:00:26] [ENGINE - KINECT_0]	 InitialSilenceTimeout: 00:00:00
[10:00:26] [ENGINE - KINECT_0]	 EndSilenceTimeout: 00:00:00.1500000
[10:00:26] [ENGINE - KINECT_0]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[10:00:26] [ENGINE - KINECT_0]	 Start listening
[10:00:26] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Cirrus Logic CS4 Channels: 2 Playback: True
[10:00:26] [ENGINE - KINECT_0]	 AudioStateChanged (00:26.8):Silence
[10:00:27] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[10:00:27] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[10:00:27] [ENGINE]	 Restart timeout: 3600000
[10:00:31] [ENGINE - KINECT_0]	 AudioStateChanged (00:31.5):Speech
[10:00:31] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[10:00:31] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Réveille => 0,2034089
[10:00:31] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,001
[10:00:31] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH quelle est la => 0,1971111
[10:00:31] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce => 0,131369
[10:00:32] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il va => 0,1364285
[10:00:32] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il va faire => 0,06542134
[10:00:32] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH recherche ... => 0,1762436
[10:00:33] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH est-ce qu'il va faire => 0,04333631
[10:00:33] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH recherche ... => 0,1762436
[10:00:34] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH recherche ... => 0,1762436
[10:00:35] [CAMERA]	 Storing camera: Kinect_0
[10:00:43] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH recherche ... => 0,1762436
[10:00:44] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH recherche ... => 0,1762436
[10:00:45] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH recherche ... => 0,1762436
[10:00:47] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH recherche ... wikipedia => 0,1933416
[10:00:47] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH recherche ... => 0,1762436
[10:00:48] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH recherche ... => 0,1762436
[10:00:50] [ENGINE - KINECT_0]	 AudioStateChanged (00:50.8):Silence
[10:00:51] [ENGINE - KINECT_0]	 AudioStateChanged (00:51.4):Speech
[10:00:51] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[10:00:51] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,001
[10:00:51] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je => 0,09371919
[10:00:51] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je veux la => 0,06012528
