[18:21:38] [PLAYER]	 [0]End Player
[18:26:31] [LOGGING]	 STARTING LOGGING
[18:26:31] [INIT]	 ==========================================
[18:26:31] [INIT]	 S.A.R.A.H. => KINECT
[18:26:31] [INIT]	 ==========================================
[18:26:31] [INIT]	 Server: http://127.0.0.1:8080
[18:26:31] [INIT]	 Confidence: 0,4
[18:26:31] [INIT]	 ==========================================
[18:26:32] [KINECT]	 Setup sensor stream
[18:26:32] [KINECT]	 Start sensor
[18:26:35] [INIT]	 Starting Server: http://169.254.80.80:8888/
[18:26:35] [INIT]	 Starting Server: http://127.0.0.1:8888/
[18:26:35] [WATCHER]	 Stop watching
[18:26:35] [GRAMMAR]	 Load file: time.xml : C:\Users\Tasa_PC\Documents\Projet\macros\time.xml
[18:26:35] [GRAMMAR]	 Add to context list: time.xml
[18:26:35] [WATCHER]	 Watching directory: macros
[18:26:35] [GRAMMAR]	 Load file: dictionary.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dictionary\dictionary.xml
[18:26:35] [GRAMMAR]	 Add to context list: dictionary.xml
[18:26:35] [GRAMMAR]	 Load file: dot_histoire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_histoire\dot_histoire.xml
[18:26:35] [GRAMMAR]	 Add to context list: dot_histoire.xml
[18:26:35] [GRAMMAR]	 Load file: dot_itineraire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_itineraire\dot_itineraire.xml
[18:26:35] [GRAMMAR]	 Add to context list: dot_itineraire.xml
[18:26:35] [GRAMMAR]	 Load file: dot_meteo.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_meteo\dot_meteo.xml
[18:26:35] [GRAMMAR]	 Add to context list: dot_meteo.xml
[18:26:35] [GRAMMAR]	 Load file: dot_text_to_speech.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_text_to_speech\dot_text_to_speech.xml
[18:26:35] [GRAMMAR]	 Add to context list: dot_text_to_speech.xml
[18:26:35] [GRAMMAR]	 Load file: dot_veille.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_veille\dot_veille.xml
[18:26:35] [GRAMMAR]	 Add to context list: dot_veille.xml
[18:26:35] [GRAMMAR]	 Load file: meteo2.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\meteo2\meteo2.xml
[18:26:35] [GRAMMAR]	 Add to context list: meteo2.xml
[18:26:35] [WATCHER]	 Watching directory: plugins
[18:26:35] [WATCHER]	 Start watching
[18:26:35] [GRAMMAR]	 Context: default
[18:26:35] [GRAMMAR]	 Context: time.xml, dictionary.xml, dot_histoire.xml, dot_itineraire.xml, dot_meteo.xml, dot_text_to_speech.xml, dot_veille.xml, meteo2.xml
[18:26:35] [CONTEXT]	 time.xml = True
[18:26:35] [CONTEXT]	 dictionary.xml = True
[18:26:35] [CONTEXT]	 dot_histoire.xml = True
[18:26:35] [CONTEXT]	 dot_itineraire.xml = True
[18:26:35] [CONTEXT]	 dot_meteo.xml = True
[18:26:35] [CONTEXT]	 dot_text_to_speech.xml = True
